02AA,02,AA,MANAGEMENT SERVICES,SC00024,SC00024 Management and Organizational Services
02AB,02,AB,DATA PROCESSING SERVICES,SC00029,SC00029 Computer and Information Services - Acquisition
02BA,02,BA,FINANCIAL ADVISORY SERVICES,SC00026,SC00026 Financial Advisory Services
02BB,02,BB,INVESTMENT ADVISORY SERVICES,SC00026,SC00026 Financial Advisory Services
02CA,02,CA,Service Contracts Related to COVID-19,SC00347,SC00347 Service Contracts Related to COVID-19
02CB,02,CB,LEGAL SERVICES--OTHER,SC00025,SC00025 Legal and Expert Witness Services
02CH,02,CH,COMMUNICATIONS SERVICES,SC00032,SC00032 Communication Services
02CJ,02,CJ,EMPLOYEE TRAINING SERVICES,SC00033,SC00033 Training Services
02CK,02,CK,RECRUITING SERVICES,SC00034,SC00034 Recruiting Services
02DA,02,DA,CONSULTING SERVICES ON CONTRACTS,SC00035,SC00035 Other Personal Services
02DB,02,DB,ARCHITECT AND ENGINEERING SERVICES,SC00036,SC00036 Architect and Engineering Services
02FA,02,FA,AUDITING SERVICES,SC00027,SC00027 Auditing Services
02FB,02,FB,ACCOUNTING SERVICES,SC00028,SC00028 Accounting Services
02GA,02,GA,MARKETING SERVICES,SC00031,SC00031 Marketing Services
02JA,02,JA,MEDICAL AND HEALTH CONSULTING SERVICES,SC00037,SC00037 Medical and Health Consulting Services
02KA,02,KA,"RESEARCH, SURVEYS, AND APPRAISALS",SC00030,SC00030 Technical Research Services
02ZA,02,ZA,Other Personal Services,SC00035,SC00035 Other Personal Services
03AA,03,AA,OFFICE SUPPLIES,SC00038,SC00038 Office Supplies
03AB,03,AB,COMPUTER EQUIPMENT NON-INVENTORIABLE,SC00039,SC00039 Computer Equipment Non-Inventoriable
03AC,03,AC,INSTRUCTION/LAB/MEDICAL SUPPLIES,SC00040,SC00040 Instruction/Lab/Medical Supplies
03AD,03,AD,CUSTODIAL SUPPLIES,SC00041,SC00041 Supplies and Materials
03AE,03,AE,COSTUMES & THEATRICAL SUPPLIES,SC00041,SC00041 Supplies and Materials
03AF,03,AF,OFFICE RELOCATION SUPPLIES,SC00041,SC00041 Supplies and Materials
03AG,03,AG,AGRICULTURAL/GROUNDS MAINT SUPPLIES,SC00042,SC00042 Agricultural/Grounds Maint Supplies
03AH,03,AH,BUILDING MAINTENANCE SUPPLIES,SC00041,SC00041 Supplies and Materials
03AJ,03,AJ,COPYING & RECORDING SUPPLIES,SC00041,SC00041 Supplies and Materials
03AK,03,AK,HOUSEKEEPING SUPPLIES,SC00041,SC00041 Supplies and Materials
03AL,03,AL,DATA PROCESSING SUPPLIES,SC00041,SC00041 Supplies and Materials
03AM,03,AM,PATIENT CARE SUPPLIES,SC00043,SC00043 Patient Care Supplies
03AN,03,AN,FORMS,SC00085,SC00085 Printing and Reproduction
03AP,03,AP,UNIFORMS & PROTECTIVE APPAREL,SC00044,SC00044 Uniforms and Protective Apparel
03AQ,03,AQ,POLICE AMMUNITION,SC00051,SC00051 Police Ammunition
03AR,03,AR,ATHLETIC AND RECREATION SUPPLIES,SC00045,SC00045 Athletic and Recreation Supplies
03AS,03,AS,PARTS - EQUIPMENT,SC00041,SC00041 Supplies and Materials
03AT,03,AT,FILM AND PHOTOGRAPHIC SUPPLIES,SC00041,SC00041 Supplies and Materials
03AV,03,AV,KITCHEN SUPPLIES,SC00041,SC00041 Supplies and Materials
03AW,03,AW,PARTS - VEHICLES,SC00126,SC00126 Parts - Vehicles
03AY,03,AY,"GASOLINE, OIL - WSU VEHICLES",SC00127,"SC00127 Gasoline, Oil - WSU Vehicles"
03AZ,03,AZ,TIRES,SC00128,SC00128 Tires
03BA,03,BA,"BOOKS, PAMPHLETS, CHARTS",SC00085,SC00085 Printing and Reproduction
03BB,03,BB,INTERNAL EXPENSE-RealEstate,SC00094,SC00094 Internal Expense - Real estate
03BE,03,BE,SUPPLIES FOR INTERDEPARTMENT RESALE,SC00041,SC00041 Supplies and Materials
03BF,03,BF,RESALE TO MINOR CAPITAL OUTLAY,SC00041,SC00041 Supplies and Materials
03BG,03,BG,ANIMAL BEDDING/NESTING/MULCH MATERIAL,SC00132,SC00132 Animal Bedding/Nesting/Mulch Material
03BH,03,BH,ANIMAL FEED,SC00133,SC00133 Animal Feed
03BJ,03,BJ,LIVESTOCK & LABORATORY ANIMALS,SC00134,SC00134 Livestock and Laboratory Animals
03BK,03,BK,INSEMINATION SUPPLIES & SERVICES,SC00041,SC00041 Supplies and Materials
03BL,03,BL,SHIPPING CONTAINERS & SUPPLIES,SC00041,SC00041 Supplies and Materials
03BM,03,BM,SUPPLIES FOR RESALE,SC00046,SC00046 Supplies for Resale
03BN,03,BN,SMALL EQUIPMENT ITEMS,SC00041,SC00041 Supplies and Materials
03BP,03,BP,MEALS AND BANQUETS,SC00047,SC00047 Meals and Banquets
03BQ,03,BQ,ATHLETIC UNIFORMS AND EQUIPMENT,SC00048,SC00048 Athletic Uniforms and Equipment
03BR,03,BR,FOOD,SC00049,SC00049 Food
03BS,03,BS,NUTRITIONAL SUPPLEMENTS-ATHLETICS,SC00041,SC00041 Supplies and Materials
03BT,03,BT,CATT MEALS,SC00050,SC00050 CATT Meals
03BU,03,BU,Goods and Services Related to COVID-19,SC00348,SC00348 Goods and Services Related to COVID-19
03BW,03,BW,INTERDEPARTMENT SUPPLIES,SC00041,SC00041 Supplies and Materials
03CA,03,CA,OFFICE EQUIPMENT RENTAL,SC00095,SC00095 Equipment Rental
03DB,03,DB,Telephone Charges-Departmental contracts,SC00052,SC00052 Wireless and Telephone
03DD,03,DD,1ST CLASS POSTAGE,SC00053,SC00053 Postage
03DE,03,DE,3RD CLASS POSTAGE,SC00053,SC00053 Postage
03DF,03,DF,POSTAGE EQUIPMENT COST,SC00053,SC00053 Postage
03DG,03,DG,SECOND CLASS POSTAGE,SC00053,SC00053 Postage
03DH,03,DH,BOOK RATE POSTAGE,SC00053,SC00053 Postage
03DI,03,DI,3RD CLASS POSTAGE - BULK,SC00053,SC00053 Postage
03DJ,03,DJ,POST OFFICE BOX RENTAL,SC00053,SC00053 Postage
03DK,03,DK,Wireless Communication - Departmental contrac,SC00052,SC00052 Wireless and Telephone
03DM,03,DM,TELEPHONE TOLLS - SCAN,SC00052,SC00052 Wireless and Telephone
03DN,03,DN,SATELLITE/MICROWAVE LINK CHARGES,SC00052,SC00052 Wireless and Telephone
03DS,03,DS,Telephone Tolls - IT (Info Tech use),SC00052,SC00052 Wireless and Telephone
03DT,03,DT,LOCAL EXCHANGE CARRIER (LEC),SC00052,SC00052 Wireless and Telephone
03DV,03,DV,Voice Mail - IT (Info Tech use),SC00052,SC00052 Wireless and Telephone
03DW,03,DW,Wireless Communication Charges-IT(Info Tech u,SC00052,SC00052 Wireless and Telephone
03EA,03,EA,ELECTRICITY,SC00054,SC00054 Electricity
03EB,03,EB,FUEL - UTILITIES & HEATING,SC00055,SC00055 Fuel - Utilities and Heating
03EC,03,EC,WATER,SC00056,SC00056 Water
03ED,03,ED,SEWER,SC00057,SC00057 Sewer
03EE,03,EE,GARBAGE DISPOSAL FEE,SC00058,SC00058 Garbage Disposal Fee
03EF,03,EF,PHYSICAL PLANT UTILITIES,SC00059,SC00059 Physical Plant Utilities
03EG,03,EG,HEATING FUEL - NATURAL GAS,SC00060,SC00060 Heating Fuel - Natural Gas
03EH,03,EH,HEATING FUEL - FUEL AND FURNACE OIL,SC00061,SC00061 Heating Fuel - Fuel and Furnace Oil
03EJ,03,EJ,HEATING FUEL - PROPANE AND FLAMO,SC00062,SC00062 Heating Fuel - Propane and Flamo
03EL,03,EL,HEATING FUEL - FREIGHT ON COAL,SC00063,SC00063 Heating Fuel - Freight On Coal
03EM,03,EM,LABORATORY FUEL - NATURAL GAS,SC00064,SC00064 Laboratory Fuel - Natural Gas
03EN,03,EN,LABORATORY FUEL - PROPANE AND FLAMO,SC00065,SC00065 Laboratory Fuel - Propane and Flamo
03EP,03,EP,GARBAGE AND TRASH REMOVAL SUPPLIES,SC00066,SC00066 Garbage and Trash Removal Supplies
03EQ,03,EQ,STORM WATER,SC00067,SC00067 Storm Water
03ER,03,ER,ELECTRICAL SYSTEM MAINTENANCE,SC00068,SC00068 Electrical System Maintenance
03ES,03,ES,WATER SYSTEM MAINTENANCE & SUPPLIES,SC00069,SC00069 Water System Maintenance and Supplies
03ET,03,ET,SEWER SYSTEM MAINTENANCE,SC00070,SC00070 Sewer System Maintenance
03EU,03,EU,HAZARDOUS WASTE REMOVAL,SC00071,SC00071 Hazardous Waste Removal
03EV,03,EV,UTILITIES MAINTENANCE & OPERATIONS,SC00072,SC00072 Utilities Maintenance and Operations
03EW,03,EW,STEAM DISTRIBUTION MAINTENANCE,SC00073,SC00073 Steam Distribution Maintenance
03EY,03,EY,CHILLED WATER SYSTEM MAINTENANCE,SC00074,SC00074 Chilled Water System Maintenance
03EZ,03,EZ,DEIONIZED WATER SYSTEM,SC00075,SC00075 Deionized Water System
03FA,03,FA,OFFICE EQUIPMENT LEASE,SC00096,SC00096 Office Equipment Lease
03FB,03,FB,PLANT EQUIPMENT RENTAL,SC00095,SC00095 Equipment Rental
03FC,03,FC,TRANSPORTATION EQUIPMENT RENTAL,SC00095,SC00095 Equipment Rental
03FD,03,FD,COMPUTER SOFTWARE RENTAL,SC00131,"SC00131 Software Licenses,  Maintenance, and Subscription-Based Computing Services - Acquisition"
03FE,03,FE,RECREATION EQUIPMENT RENTAL,SC00344,SC00344 Equipment Lease
03FF,03,FF,RECREATION FACILITIES RENTAL,SC00095,SC00095 Equipment Rental
03FG,03,FG,COMPUTING EQUIPMENT RENTAL,SC00344,SC00344 Equipment Lease
03FH,03,FH,CONFERENCE ROOM RENTAL,SC00097,SC00097 Conference Room Rental
03FJ,03,FJ,BOOK FILM & EXHIBIT RENTAL,SC00135,SC00135 Book Film and Exhibit Rental
03FK,03,FK,LAND AND BUILDING LEASES,SC00077,SC00077 Rentals and Leases - Land and Buildings
03FL,03,FL,ROYALTIES,SC00136,SC00136 Royalties
03FM,03,FM,DEMURRAGE,SC00098,SC00098 Demurrage
03FN,03,FN,NUCLEAR MATERIALS USE CHARGES,SC00099,SC00099 Nuclear Materials Use Charges
03FP,03,FP,AGRICULTURAL EQUIPMENT RENTAL,SC00344,SC00344 Equipment Lease
03FR,03,FR,LAB EQUIPMENT RENTAL,SC00095,SC00095 Equipment Rental
03FS,03,FS,RENTAL OF OFF-SITE ACTIVITY FACILITIES,SC00100,SC00100 Rental of Off-Site Activity Facilities
03FT,03,FT,RENTAL OF HOUSING ACCOMODATIONS,SC00101,SC00101 Rental of Housing Accommodations
03FV,03,FV,Cable TV Rental,SC00095,SC00095 Equipment Rental
03FW,03,FW,SPACE RENTAL OTHER THAN LAND & BLDG LEASES,SC00102,SC00102 Space Rental Other Than Land and Bldg Leases
03FX,03,FX,OfcCommercialization Royalties-Restricted,SC00137,SC00137 OFC - Commercialization Royalties - Restricted
03GA,03,GA,VEHICLE REPAIR AND MAINTENANCE,SC00129,SC00129 Vehicle Maintenance and Operating Costs
03GB,03,GB,EQUIPMENT SERVICE CONTRACTS,SC00078,SC00078 Equipment Maintenance
03GC,03,GC,VEHICLE ACCIDENT REPAIR,SC00129,SC00129 Vehicle Maintenance and Operating Costs
03GF,03,GF,COMPUTER EQUIPMENT MAINTENANCE,SC00078,SC00078 Equipment Maintenance
03GG,03,GG,EQUIPMENT MAINTENANCE,SC00078,SC00078 Equipment Maintenance
03GH,03,GH,BUILDING AND PLANT SAFETY MAINT,SC00079,SC00079 Building and Plant Safety Maint
03GJ,03,GJ,GROUNDS MAINTENANCE,SC00080,SC00080 Grounds Maintenance
03GL,03,GL,DRY CLEANING AND LAUNDRY,SC00081,SC00081 Dry Cleaning and Laundry
03GM,03,GM,ANIMAL MAINTENANCE,SC00082,SC00082 Animal Maintenance
03GN,03,GN,MAJOR REPAIRS FOR STRUCTURES/FACILITIES,SC00083,SC00083 Major Repairs for Structures/Facilities
03GP,03,GP,MAINTENANCE OF OFF-SITE ACTIVITY FACILITIES,SC00084,SC00084 Maintenance of Off-Site Activity Facilities
03HA,03,HA,PRINTING,SC00085,SC00085 Printing and Reproduction
03HB,03,HB,DUPLICATING,SC00085,SC00085 Printing and Reproduction
03HC,03,HC,REPRODUCTION,SC00085,SC00085 Printing and Reproduction
03HE,03,HE,BINDING,SC00085,SC00085 Printing and Reproduction
03HF,03,HF,PHOTOGRAPHY,SC00085,SC00085 Printing and Reproduction
03HG,03,HG,ENGRAVING,SC00085,SC00085 Printing and Reproduction
03HH,03,HH,ARTWORK,SC00085,SC00085 Printing and Reproduction
03HJ,03,HJ,COMPOSITION,SC00085,SC00085 Printing and Reproduction
03HK,03,HK,"ADDRESSING, LABELING, ETC.",SC00085,SC00085 Printing and Reproduction
03JA,03,JA,EDUCATION AND TRAINING,SC00086,SC00086 Education and Training
03JB,03,JB,English Language Training/TOFEL Fee,SC00087,SC00087 English Language Training/Tofel Fee
03JD,03,JD,Special Research Costs-AID Participants,SC00088,SC00088 Special Research Costs-Aid Participants
03JE,03,JE,RECOGNITION AWARDS,SC00089,SC00089 Recognition Awards
03JM,03,JM,REGISTRATION FEES,SC00090,SC00090 Registration Fees
03JP,03,JP,HOUSING & DINING PERQUISITES,SC00138,SC00138 Housing and Dining Perquisites
03KA,03,KA,MEMBERSHIP DUES,SC00091,SC00091 Membership Dues
03KB,03,KB,CONFERENCE REGISTRATION FEES,SC00092,SC00092 Conference Registration Fees
03LA,03,LA,SUBSCRIPTIONS TO PUBLICATIONS,SC00103,SC00103 Subscriptions to Publications and Recordings
03LB,03,LB,SUBSCRIPTIONS TO RECORDINGS,SC00103,SC00103 Subscriptions to Publications and Recordings
03LC,03,LC,WIRE PRESS SERVICES,SC00104,SC00104 Subscriptions
03LD,03,LD,SUBMISSION/PUBLICATION COSTS,SC00093,SC00093 Submission/Publication Costs
03LE,03,LE,FREQUENCY MONITORING,SC00104,SC00104 Subscriptions
03LG,03,LG,CAHNRS GIFT GRANT SUPPORT COSTS,SC00139,SC00139 CAHNRS Gift Grant Support Costs
03LS,03,LS,Life Sciences Facilities Costs,SC00140,SC00140 Life Sciences Facilities Costs
03LV,03,LV,OFC-BOARD INDUSTRY PROJECT INTERNAL EXP,SC00141,SC00141 OFC - Board Industry Project Internal Exp
03MC,03,MC,COMPUTER OR TERMINAL OPERATOR,SC00105,SC00105 Data Processing Services
03MD,03,MD,ELECTRONICS TECHNICIAN,SC00105,SC00105 Data Processing Services
03MF,03,MF,SYSTEMS ANALYSIS OR PROGRAMMING,SC00105,SC00105 Data Processing Services
03MG,03,MG,COMPUTER CLERICAL SUPPORT,SC00105,SC00105 Data Processing Services
03MJ,03,MJ,PURCHASED COMPUTING SERVICES,SC00118,SC00118 Other Routine Contractual Services
03MV,03,MV,Data/Ethernet Service,SC00198,SC00198 Data/Ethernet Service
03NA,03,NA,ATTORNEY GENERAL SERVICES,SC00106,SC00106 Attorney General Services
03NB,03,NB,CLIENT SERVICE CONTRACTS,SC00295,SC00295 Payments to Providers for Direct Client Services
03PA,03,PA,PERSONNEL SERVICES,SC00107,SC00107 Personnel Services
03PB,03,PB,AUDIT SERVICES,SC00130,SC00130 Audit Services
03PC,03,PC,ARCHIVES AND RECORD MANAGEMENT,SC00118,SC00118 Other Routine Contractual Services
03PD,03,PD,ATC MEDICAL SERVICES COST RECOVERY,SC00118,SC00118 Other Routine Contractual Services
03PE,03,PE,LABORATORY ANALYSIS SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PF,03,PF,VETERINARIAN SERVICES,SC00119,SC00119 Veterinarian Services
03PG,03,PG,Physician & Medical Services,SC00118,SC00118 Other Routine Contractual Services
03PH,03,PH,DENTAL SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PI,03,PI,IT FIBEROPTIC CONNECTION,SC00120,SC00120 IT Fiberoptic Connection
03PJ,03,PJ,SECRETARIAL & STENOGRAPHIC SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PK,03,PK,LECTURER OR VISITING PROFESSOR,SC00121,SC00121 Lecturer or Visiting Professor
03PL,03,PL,PERFORMING ARTISTS,SC00118,SC00118 Other Routine Contractual Services
03PM,03,PM,CADET TEACHER PROGRAM,SC00118,SC00118 Other Routine Contractual Services
03PN,03,PN,OFFICIATING FEES,SC00122,SC00122 Officiating Fees
03PP,03,PP,GAME DAY EXPENSES,SC00123,SC00123 Game Day Expenses
03PQ,03,PQ,SECURITY SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PR,03,PR,NEWSPAPER AND PAMPHLET DELIVERY,SC00118,SC00118 Other Routine Contractual Services
03PS,03,PS,CUSTOM GROUNDS SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PT,03,PT,INFORMANT FEES,SC00118,SC00118 Other Routine Contractual Services
03PU,03,PU,RESEACH SUBJECTS,SC00124,SC00124 Research Subjects
03PW,03,PW,TUTORING SERVICES,SC00118,SC00118 Other Routine Contractual Services
03PX,03,PX,PARTICIPANT SUPPORT COSTS,SC00125,SC00125 Participant Support Costs
03PZ,03,PZ,OTHER PURCHASED SERVICES,SC00118,SC00118 Other Routine Contractual Services
03RA,03,RA,VEHICLE INSURANCE,SC00108,SC00108 Vehicle Insurance
03RB,03,RB,LIABILITY INSURANCE,SC00109,SC00109 Liability Insurance
03RC,03,RC,FIRE & EXTENDED COVERAGE INSURANCE,SC00110,SC00110 Fire and Extended Coverage Insurance
03RD,03,RD,COMPREHENSIVE CRIME INSURANCE,SC00111,SC00111 Comprehensive Crime Insurance
03RF,03,RF,PERFORMANCE BONDS,SC00112,SC00112 Performance Bonds
03RH,03,RH,ACCIDENT INSURANCE,SC00113,SC00113 Accident Insurance
03RI,03,RI,RESEARCH INFRASTRUCTURE,SC00142,SC00142 Research Infrastructure
03RK,03,RK,LIABILITY CLAIMS,SC00114,SC00114 Liability Claims
03RL,03,RL,FIRE & PROPERTY DAMAGE CLAIMS,SC00115,SC00115 Fire and Property Damage Claims
